שם  הרשות 1,סמל הרשות 2012,מחוז 2012 ,מעמד מוניציפלי 2012,"מרחק מגבול מחוז תל אביב (ק""מ) 2004 ",שנת קבלת מעמד מוניציפלי  ,מספר חברי מועצה 2012,סמל ועדת תכנון ובנייה 2012,שם ועדת תכנון ובנייה 2012,"אשכול חברתי-כלכלי 2008 (1 נמוך, 10 גבוה)   ",מדד חברתי-כלכלי 2008 -ערך,מדד חברתי-כלכלי 2008 -דירוג,מדד חברתי-כלכלי 2008 -ממוצע משוקלל,מדד חברתי-כלכלי 2008 -סטיית תקן משוקללת,"סה""כ  אוכלוסייה בסוף 2012 (אלפים)",יהודים ואחרים (אחוז) 2012,יהודים (אחוז) 2012,ערבים (אחוז) 2012,מוסלמים (אחוז) 2012,נוצרים (אחוז) 2012,דרוזים (אחוז) 2012,"סה""כ גברים בסוף 2012 (אלפים)","סה""כ נשים בסוף 2012 (אלפים)",יחס תלות (לאלף תושבים בלתי תלויים) 2012,אחוז בני 4-0  באוכלוסייה בסוף 2012,אחוז בני 9-5  באוכלוסייה בסוף 2012,אחוז בני  14-10 באוכלוסייה בסוף 2012,אחוז בני 19-15  באוכלוסייה בסוף 2012,אחוז בני 29-20 באוכלוסייה בסוף 2012,אחוז בני 44-30  באוכלוסייה בסוף 2012,אחוז בני 59-45  באוכלוסייה בסוף 2012,אחוז בני 64-60  באוכלוסייה בסוף 2012,אחוז בני 65 ומעלה  באוכלוסייה בסוף 2012,אחוז בני 17-0  באוכלוסייה בסוף 2012,אחוז בני 75 ומעלה באוכלוסייה בסוף 2012,לידות חי 2012,פטירות 2012,"ריבוי טבעי - סה""כ 2012",ריבוי טבעי  לאלף תושבים 2012-2011,"מאזן הגירה - סה""כ 2012",אחוז עולי 1990+ מסך האוכלוסייה 2012,אחוז גידול האוכלוסייה שנת 2012 לעומת 2011,פטירות תינוקות (ממוצע 2012-2008) ,שיעור פטירות תינוקות2 לאלף לידות חי 2012-2008,השתקעות ראשונה של עולים 2012,אחוז עולים בני 17-0 בהשתקעות ראשונה 2012,אחוז עולים בני 44-18 בהשתקעות ראשונה 2012,אחוז עולים בני 64-45 בהשתקעות ראשונה 2012,אחוז עולים בני 65 ומעלה בהשתקעות ראשונה 2012,"נכנסים מיישובים אחרים - סה""כ 2012",נכנסים מיישובים אחרים - גברים  2012,נכנסים מיישובים אחרים - נשים 2012,נכנסים מיישובים אחרים - עד גיל 14 2012,נכנסים מיישובים אחרים - גיל 29-15 2012,נכנסים מיישובים אחרים - גיל 64-30 2012,נכנסים מיישובים אחרים - גיל 65 ומעלה 2012,"יוצאים ליישובים אחרים - סה""כ 2012",יוצאים ליישובים אחרים - גברים 2012,יוצאים ליישובים אחרים - נשים 2012,יוצאים ליישובים אחרים - עד גיל 14 2012,יוצאים ליישובים אחרים - גיל 29-15 2012,יוצאים ליישובים אחרים - גיל 64-30 2012,יוצאים ליישובים אחרים - גיל 65 ומעלה 2012 ,"מקבלי דמי אבטלה - סה""כ (ממוצע חודשי) 2012",מקבלי דמי אבטלה - גברים 2012 (ממוצע חודשי),"מקבלי הכשרה מקצועית - סה""כ 2012",גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים) 2012,"דמי אבטלה ממוצעים ליום (ש""ח) 2012","מקבלי קצבאות זקנה ושאירים - סה""כ (סוף שנה) 2012",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה) 2012,"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה) 2012",מקבלי גמלאות סיעוד (סוף שנה) 2012,מקבלי גמלאות נכות כללית (סוף שנה) 2012,מקבלי גמלאות ניידות (סוף שנה) 2012,מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה) 2012,"מבוטחים בקופת חולים - סה""כ (סוף שנה) 2012","אחוז המבוטחים בקופ""ח כללית מתוך סך כל המבוטחים 2012","אחוז המבוטחים בקופ""ח מכבי מתוך סך כל המבוטחים 2012","אחוז המבוטחים בקופ""ח מאוחדת מתוך סך כל המבוטחים 2012","אחוז המבוטחים בקופ""ח לאומית מתוך סך כל המבוטחים 2012","סה""כ משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) 2012",מספר משפחות של מקבלי קצבאות  בגין ילדים עם 2-1 ילדים במשפחה 2012,מספר משפחות של מקבלי קצבאות  בגין ילדים עם 4-3 ילדים במשפחה 2012,מספר משפחות של מקבלי קצבאות בגין ילדים עם 5 ילדים ויותר במשפחה 2012,"סה""כ ילדים שבגינם שולמו קצבאות 2012",מספר הילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים 2012,מספר הילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים 2012,מספר הילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר 2012,"שכר ממוצע לחודש של שכירים במשך 2011 (ש""ח)","שכר ממוצע לחודש של גברים שכירים במשך 2011 (ש""ח)","שכר ממוצע לחודש של נשים שכירות במשך 2011 (ש""ח)",אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים במשך 2011,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של גברים שכירים במשך 2011,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של נשים שכירות במשך 2011,מספר השכירים ב-2011,אחוז השכירים המשתכרים עד שכר מינימום ב-2011,מספר העצמאים ב-2011,"הכנסה ממוצעת לחודש של העצמאים ב-2011 (ש""ח)",אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב-2011 ( לעומת 2010),אחוז העצמאים המשתכרים עד מחצית השכר הממוצע ב-2011,"מדד אי-השוויון - שכירים (מדד ג'יני, 0 שוויון מלא)  ב-2011","בתי ספר - סה""כ  תשע""ב 2011/12","בתי ספר יסודיים (כולל חינוך מיוחד)  תשע""ב 2011/12","בתי ספר על יסודיים - סה""כ  תשע""ב 2011/12","חטיבות ביניים  תשע""ב 2011/12","בתי ספר תיכוניים  תשע""ב 2011/12","כיתות - סה""כ  תשע""ב 2011/12","כיתות בבתי ספר יסודיים (כולל חינוך מיוחד) תשע""ב 2011/12","כיתות בבתי ספר על-יסודיים  תשע""ב 2011/12","כיתות בחטיבות ביניים  תשע""ב 2011/12","כיתות בבתי ספר תיכוניים  תשע""ב 2011/12","תלמידים - סה""כ תשע""ב 2011/12","תלמידים בבתי ספר יסודיים (כולל חינוך מיוחד)  תשע""ב 2011/12","תלמידים בבתי ספר על-יסודיים תשע""ב 2011/12","תלמידים בחטיבות ביניים  תשע""ב 2011/12","תלמידים בבתי ספר תיכוניים  תשע""ב 2011/12","ממוצע תלמידים לכיתה - סה""כ תשע""ב 2011/12","ממוצע תלמידים לכיתה בבתי ספר יסודיים (כולל חינוך מיוחד) תשע""ב 2011/12","ממוצע תלמידים לכיתה בבתי ספר על-יסודיים תשע""ב 2011/12","ממוצע תלמידים לכיתה בחטיבות ביניים תשע""ב 2011/12","ממוצע תלמידים לכיתה בבתי ספר תיכוניים  תשע""ב 2011/12","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ב 2011/12","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב  תשע""ב 2011/12","תקבולי מים (אלפי מ""ק) 2012","פחת מים - סה""כ (אלפי מ""ק) 2012",אחוז פחת המים מסך כל תקבולי המים 2012,"סה""כ צריכת מים (אלפי מ""ק) 2012","צריכת מים עירונית (אלפי מ""ק) 2012","צריכת מים תעשייתית (אלפי מ""ק) 2012","צריכת מים חקלאית (אלפי מ""ק) 2012","אחוז צריכת מים עירונית מסה""כ צריכת המים 2012","אחוז צריכת מים תעשייתית מסה""כ צריכת המים 2012","אחוז צריכת מים חקלאית מסה""כ צריכת המים 2012","צריכת מים עירונית למגורים (אלפי מ""ק) 2012","צריכת מים עירונית למוסדות הרשות המקומית (אלפי מ""ק) 2012","צריכת מים עירונית לגינון ציבורי (אלפי מ""ק) 2012","צריכת מים עירונית לבנייה (אלפי מ""ק) 2012","אחוז צריכת מים למגורים מסה""כ צריכת מים עירונית 2012","אחוז צריכת מים למוסדות הרשות המקומית מסה""כ צריכת מים עירונית 2012","אחוז צריכת מים לגינון ציבורי מסה""כ צריכת מים עירונית 2012","אחוז צריכת מים לבנייה מסה""כ צריכת מים עירונית 2012","סה""כ צריכת מים עירונית (מ""ק לנפש) 2012","צריכת מים עירונית למגורים (מ""ק לנפש) 2012","צריכת מים עירונית למוסדות הרשות המקומית (מ""ק לנפש) 2012","צריכת מים עירונית לגינון ציבורי (מ""ק לנפש) 2012","צריכת מים עירונית לבנייה (מ""ק לנפש) 2012","התחלת בנייה: שטח (אלפי מ""ר) - סה""כ 2012","התחלת בנייה: שטח  למגורים (אלפי מ""ר) 2012",התחלת בנייה: מספר דירות 2012,"גמר בנייה: שטח (אלפי מ""ר) - סה""כ 2012","גמר בנייה: שטח למגורים (אלפי מ""ר) 2012",גמר בנייה: מספר דירות 2012,מספר דירות למגורים לפי מרשם מבנים ודירות (אפריל 2013),"התחלה של סלילת כבישים  חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ) 2012","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר) 2012","התחלה של הנחת צינורות מים (ק""מ) 2012","התחלה של הנחת צינורות ביוב (ק""מ) 2012","התחלה של הנחת צינורות תיעול (ק""מ) 2012","גמר של סלילת כבישים  חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ) 2012","גמר של סלילת כבישים  חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר) 2012","גמר של הנחת צינורות מים (ק""מ) 2012","גמר של הנחת צינורות ביוב (ק""מ) 2012","גמר של הנחת צינורות תיעול (ק""מ) 2012","פסולת מוצקה ביתית, מסחרית וגזם (ק""ג ליום לנפש) 2012","כלי רכב מנועיים - סה""כ 2012","מכוניות פרטיות - סה""כ 2012",גיל ממוצע של רכב פרטי (שנים) 2012,"תאונות דרכים עם נפגעים - סה""כ 2012","תאונות דרכים עם נפגעים - שיעור ל-1,000 תושבים 2012","תאונות דרכים עם נפגעים - שיעור ל-1,000 כלי רכב 2012","מדד קומפקטיות אשכול (מ-1 עד 10, 1 הגבוה ביותר) 2006",מדד קומפקטיות - דירוג 2006,מדד קומפקטיות - ציון תקן 2006,"רמת פריפריאליות: ""פריפריאלית מאוד"" 2004","רמת פריפריאליות: ""פריפריאלית"" 2004","רמת פריפריאליות: ""בינונית"" 2004","רמת פריפריאליות: ""מרכזית"" 2004","רמת פריפריאליות: ""מרכזית מאוד"" 2004",אשכול פריפריאליות 2004,"מדד לאיפיון טופוגרפיה, גובה מינימלי מעל פני הים במטרים, לפי רשת התאים 25X25 מטרים על המרקם העירוני - 2006 ","מדד לאיפיון טופוגרפיה, גובה מקסימלי מעל פני הים במטרים, לפי רשת התאים 25X25 מטרים על המרקם העירוני - 2006 ","מדד לאיפיון טופוגרפיה, טווח הגבהים מעל פני הים במטרים, לפי רשת התאים 25X25 מטרים על המרקם העירוני - 2006 ","מדד לאיפיון טופוגרפיה, ממוצע הגבהים מעל פני הים במטרים, לפי רשת התאים 25X25 מטרים על המרקם העירוני - 2006 ","מדד לאיפיון טופוגרפיה, ערך סטיית התקן של הגבהים מעל פני הים, במטרים - 2006 ","מדד לאיפיון טופוגרפיה, ציון סטיית התקן של הגבהים מעל פני הים, במטרים - 2006 ","מדד לאיפיון טופוגרפיה, דירוג סטיית התקן של הגבהים מעל פני הים, במטרים - 2006 ","מדד לאיפיון טופוגרפיה, ערך של שיפוע ממוצע של המרקם העירוני במעלות, על רשת התאים 25X25 מטרים - 2006 ","מדד לאיפיון טופוגרפיה, ציון תקן  של שיפוע ממוצע של המרקם העירוני, על רשת התאים 25X25 מטרים - 2006 ","מדד לאיפיון טופוגרפיה, דירוג של שיפוע ממוצע של המרקם העירוני, על רשת התאים 25X25 מטרים - 2006 ","מדד לאיפיון טופוגרפיה, ערך ממוצע ציוני תקן של סטיית התקן של הגבהים, ושל שיפוע הממוצע - 2006 ","מדד לאיפיון טופוגרפיה, דירוג ממוצע ציוני תקן של סטיית התקן של הגבהים, ושל שיפוע הממוצע - 2006 ","מדד לאיפיון טופוגרפיה, אשכול ממוצע ציוני תקן של סטיית התקן של הגבהים, ושל שיפוע הממוצע - 2006 "
אום אל-פחם,2710,חיפה,עירייה,58.6,1984,15,354,עירון,2,-1.315,20,-1.493,0.218,49.5,-,-,100,99.9,-,-,25.1,24.4,"1,068",11.8,12,13.2,10.9,14.9,19.6,12.1,1.7,3.6,43.9,1.1,"1,172",154,"1,018",20.8,-94,-,2.2,8, 6.7,2,50,50,0,0, 	176 ,51,125,34,101,39,..,270,87,183,77,141,51,..,369,274,-,40,107,"1,837",23.5,"7,533",391,"1,536",245,182,"49,846",78.8,7.5,13.3,0.5,"7,815","3,644","3,410",761,"21,503","5,726","11,635","4,142","4,682","5,292","3,257",3.2,3.2,5.6,"13,084",54.8,"1,352","6,656",2,49.7,0.3638,27,16,17,8,9,532,287,245,119,126,"14,166","7,615","6,551","3,423","3,128",27,27,27,29,25,51.4,31.8,"3,189",509,16,"2,680","2,561",40,78,95.6,1.5,2.9,"2,239",102,-,86,87.4,4,-,3.4,51.7,45.2,2.1,-,1.7,23.8,23.4,113,34.7,23.7,111," 	14,538 ",5,27.0,6.3,3.9,-,4.7,27.0,7.7,4.9,-,1.6," 	13,242 "," 	10,213 ",11.0,28,0.6,2.2,7,139,0.55,,,x,,,6,173.00,520.00,347.00,351.00,69.20,1.52,182,11.10,1.81,192,1.66,187,9
אופקים,0031,הדרום,עירייה,85.8,1995,5,601,אופקים,3,-0.762,75,-0.933,0.396,24.6,99.3,92.7,,-,-,-,12.1,12.6,878,10.8,9.1,8.5,9.2,17.5,16.6,15.5,3.6,9.2,33.3,4.2,620,149,471,19.2,-278,23.4,1.0,4,( 6.2),27,44.4,40.7,7.4,7.4, 	695 ,357,338,166,307,199,23,973,484,489,274,347,324,28,304,129,..,42,96,"2,505",51.5,"2,299",788,994,100,103,"25,701",65.2,24.2,1.1,9.5,"3,532","2,141",937,454,"9,085","3,084","3,137","2,864","5,412","6,668","4,245",3.1,1.3,5.3,"10,249",46.5,398,"7,929",4.9,46.5,0.3766,23,16,10,..,8,248,158,90,29,61,"5,254","3,182","2,072",627,"1,445",21,20,23,22,24,42.9,31.6,"2,249",416,18.5,"1,833","1,433",400,-,78.2,21.8,-,"1,095",78,77,16,76.4,5.4,5.4,1.1,58.2,44.4,3.2,3.1,0.7,14.9,6.3,21,23.2,20.8,133," 	7,171 ",0.8,6.2,-,-,0.1,3.2,34.8,-,-,0.1,1.6," 	5,133 "," 	4,259 ",8.0,15,0.6,3,3,38,-0.82,,x,,,,4,118.00,160.00,42.00,137.00,10.20,-0.71,49,1.40,-1.11,24,-0.91,32,2
אור יהודה,2400,תל אביב,עירייה,0,1988,15,552,אור יהודה - אזור,5,-0.100,114,-0.312,0.679,35.3,99.9,98.1,,-,-,-,17.5,17.8,720,8.9,7.9,7.7,7.3,15.7,20.5,17.0,4.9,10.0,28.8,4.5,671,201,470,13.3,-441,14.3,0.1,1,  ..,13,38.5,30.8,23.1,7.7, 	889 ,407,482,216,258,337,78,"1,330",663,667,418,315,535,62,345,159,..,43,85,"3,701",20.8,781,"1,083","1,518",176,135,"33,862",59.7,31.7,2.8,5.8,"5,111","3,519","1,491",101,"10,653","5,314","4,773",566,"6,974","8,322","5,681",2.1,0.9,3.4,"15,505",37.9,"1,403","8,879",0.2,44.9,0.4046,19,12,11,3,8,225,146,79,37,42,"5,265","3,243","2,022","1,115",907,23,22,26,30,22,68.2,48.8,"3,168",346,10.9,"2,822","2,662",-,159,94.4,-,5.6,"1,768",67,293,-,66.4,2.5,11,..,75.5,50.1,1.9,8.3,..,41.2,14.9,58,34.7,33,143," 	10,236 ",1,11.6,1.5,2.1,1.0,1.1,11.6,1.5,2.1,1.0,2.4," 	12,446 "," 	9,188 ",8.0,36,1,2.9,3,68,-0.58,,,,,x,8,26.00,38.00,12.00,32.00,2.60,-1.00,5,0.50,-1.38,4,-1.19,4,1
אור עקיבא,1020,חיפה,עירייה,38.7,2001,13,353,שומרון,4,-0.323,103,-0.478,0.342,16.2,99.3,92.5,,-,-,-,7.9,8.3,724,8.7,7.1,7,7.2,15.3,19.4,18.2,5.1,12.0,26.8,5.4,313,118,195,12.1,-70,32.9,1.8,1,  ..,34,32.4,26.5,17.6,23.5, 	465 ,233,232,108,126,192,39,535,261,274,127,183,195,30,245,115,..,43,99,"2,140",45.3,667,603,678,90,112,"17,303",67.8,16.1,10.8,5.3,"2,260","1,679",504,77,"4,546","2,465","1,641",440,"6,046","7,352","4,823",3.3,3.9,2.4,"8,298",39.3,480,"7,087",7,47.7,0.3584,10,6,7,3,4,132,71,61,32,29,"2,722","1,339","1,383",747,636,21,19,23,23,22,70.2,52.9,"1,582",191,12.1,"1,391","1,352",39,-,97.2,2.8,-,852,25,209,-,63,1.8,15.5,..,83.4,52.6,1.5,12.9,..,56,51,364,31.1,29.9,208," 	5,189 ",1.9,16.5,1.6,-,-,0.3,2.5,-,0.7,-,2," 	5,045 "," 	4,259 ",8.0,21,1.3,4.2,2,33,-0.91,,,x,,,6,9.00,22.00,12.00,15.00,2.60,-1.00,4,0.40,-1.40,2,-1.20,2,1
אילת,2600,הדרום,עירייה,321.7,1959,17,602,אילת,5,0.223,143,0.054,0.350,47.7,96,84.3,4,2.9,0.5,0.5,24.7,23,568,8.3,7.3,7,6.3,18.9,23.2,17.4,4.3,7.3,26.3,2.5,933,184,749,15.9,-425,20,2.0,3,( 3.3),305,18,52.8,21.3,7.9," 	3,417 ","1,897","1,520",438,"1,780","1,104",95,"3,842","2,093","1,749",669,"1,546","1,496",131,630,288,8,44,88,"3,808",22.6,"1,723",405,"1,308",211,296,"53,308",55,33,4.7,7.3,"6,770","5,060","1,572",138,"13,259","7,407","5,068",784,"6,679","7,742","5,532",3.1,3.6,2.3,"28,356",36.6,"1,936","8,480",0.9,39.5,0.3711,18,12,11,5,6,340,184,156,74,82,"7,878","4,343","3,535","1,814","1,721",23,24,23,25,21,54.1,49.9,"11,146","1,046",9.4,"10,100","6,078","3,933",90,60.2,38.9,0.9,"3,557",303,"1,173",71,58.5,5,19.3,1.2,127.4,74.5,6.4,24.6,1.5,14.5,12.6,97,42.1,19.3,139," 	17,685 ",10.2,97.9,6.7,1.3,-,12.7,116.2,6.5,0.6,-,3.3," 	15,740 "," 	11,780 ",8.0,56,1.2,3.6,8,181,1.33,x,,,,,1,-4.00,152.00,156.00,48.00,41.80,0.48,157,3.60,-0.44,86,0.02,110,5
אלעד,1309,המרכז,עירייה,11.4,2007,15,422,אלעד,2,-1.212,35,-1.272,0.368,41.4,100,100,,-,-,-,20.9,20.5,"1,734",21.2,21.5,14,5.6,11.0,19.9,4.8,0.8,1.0,60.4,0.3,"1,634",24,"1,610",39.8,-438,3,4.4,4, 2.5,19,68.4,21.1,10.5,0," 	1,069 ",545,524,406,416,223,24,"1,507",778,729,722,413,357,15,224,88,..,36,89,455,12.5,590,68,451,50,26,"40,751",36.8,28.2,24.1,10.8,"6,164","1,431","2,532","2,201","24,494","2,329","8,912","13,253","5,536","7,030","4,423",4.9,3.8,6.5,"9,911",47.8,728,"5,744",2.8,58.5,0.3973,51,38,17,..,15,505,440,65,12,53,"11,731","10,238","1,493",296,"1,197",23,23,23,25,23,30.9,15.6,"1,879",242,12.9,"1,636","1,636",-,-,100,-,-,"1,386",92,50,17,84.7,5.6,3.1,1,39.6,33.5,2.2,1.2,0.4,15.9,15.9, 	98 ,2.0,2,..," 	7,200 ",-,-,-,-,-,-,-,-,-,-,1," 	4,756 "," 	3,786 ",9.0,20,0.5,4.3,3,58,-0.65,,,,x,,7,68.00,167.00,100.00,124.00,25.50,-0.13,112,4.20,-0.27,96,-0.20,99,4
אריאל,3570,אזור יהודה והשומרון,עירייה,31.9,1998,11,701,אריאל,5,0.244,149,0.084,0.108,18.2,99.3,81.6,,-,-,-,8.9,9.2,546,7.3,6.3,6,6.3,23.2,18.8,18.2,4.5,9.5,23.1,4.2,266,82,184,10.2,-140,38.1,1.7,1,( 4.4),65,12.3,56.9,21.5,9.2, 	669 ,324,345,154,253,226,36,809,418,391,187,256,323,43,250,133,..,46,99,"1,673",48.4,179,208,393,62,83,"16,929",37.9,32.5,5,24.6,"2,309","1,804",446,59,"4,406","2,620","1,433",353,"7,250","8,770","5,762",4.3,4.6,4.1,"9,360",32.6,463,"7,308",-0.5,49.9,0.3691,6,5,2,..,..,104,63,41,23,18,"2,470","1,395","1,075",587,488,24,22,26,26,27,55.9,47.9,"1,258",58,4.6,"1,200","1,171",29,-,97.5,2.5,-,774,137,157,9,66.1,11.7,13.4,0.8,64.4,42.6,7.6,8.6,0.5,5.3,1.3,4,1.7,1.7,3," 	4,774 ",1.7,12.4,-,-,-,2,14.5,-,-,-,1.2," 	4,876 "," 	4,104 ",8.0,20,1.1,4.1,8,170,1.19,,,x,,,6,350.00,705.00,356.00,574.00,73.70,1.69,185,7.70,0.78,142,1.24,179,8
אשדוד,0070,הדרום,עירייה,28.3,1968,22,603,אשדוד,5,-0.104,112,-0.315,0.761,214.9,99.9,90.8,,-,-,-,104.9,110,891,9.8,8.8,8.6,7.4,13.8,18.6,15.7,4.7,12.5,31.8,5.8,"4,506","1,356","3,150",14.7,"-1,491",30.5,1.0,13, 3.0,796,24.9,38.1,22.6,14.4," 	3,892 ","2,045","1,847",776,"1,373","1,460",283,"5,383","2,789","2,594","1,271","1,922","1,898",292,"2,232",971,11,44,97,"25,493",43.6,"8,933","6,108","5,225",771,"1,310","217,597",32.8,27.3,22.2,17.7,"29,203","19,151","7,174","2,878","69,854","28,048","23,610","18,196","7,022","8,876","5,229",1.8,1.4,2.5,"92,297",39.7,"4,918","7,434",-2.1,50.6,0.4181,122,81,62,15,47,"1,702","1,074",628,221,407,"42,425","25,963","16,462","6,354","10,108",25,24,26,29,25,58.1,46.8,"17,469","1,662",9.5,"15,807","14,219","1,588",-,90,10,-,"10,044",684,"1,512",250,70.6,4.8,10.6,1.8,66.2,46.7,3.2,7,1.2,165.2,126.4,635,133.6,85.6,440," 	63,413 ",2,42.7,4.9,3.5,0.5,1.7,36.4,4.9,3.5,0.7,1.6," 	50,115 "," 	42,302 ",7.0,244,1.1,4.9,7,160,0.94,,,,x,,7,-3.00,47.00,50.00,21.00,9.00,-0.75,40,1.10,-1.20,13,-0.98,20,2
אשקלון,7100,הדרום,עירייה,44.5,1955,21,604,אשקלון,5,0.015,121,-0.136,0.492,120,99.8,89,,-,-,-,58.4,61.6,771,8.5,7.1,6.9,6.8,15.0,18.6,17.6,5.3,14.1,26.6,6.7,"2,137",874,"1,263",10.6,"1,054",30.1,2.1,4, 2.1,361,25.5,37.7,23.3,13.6," 	3,756 ","1,883","1,873",899,"1,085","1,520",252,"2,702","1,302","1,400",582,929,"1,023",168,"1,207",500,..,44,95,"16,346",46.2,"6,522","4,339","4,494",600,884,"119,678",47.2,27.2,12.8,12.8,"15,376","10,895","3,959",522,"31,621","15,789","12,895","2,937","6,534","8,196","4,896",2.2,2.3,1.9,"54,328",42.7,"3,144","7,832",1.1,48.5,0.4177,53,35,31,9,22,746,434,312,142,170,"19,641","10,868","8,773","4,339","4,434",26,25,28,31,26,67.2,53.9,"10,518",1567,14.9,"8,951","7,937",933,81,88.7,10.4,0.9,"5,851",197,653,75,73.7,2.5,8.2,0.9,66.1,48.7,1.6,5.4,0.6,220.1,175.1,999,257.2,235.7,"1,479"," 	41,818 ",3.8,32.2,7.4,3.8,0.4,4.6,59.6,11.8,8.9,2.2,2," 	35,099 "," 	28,866 ",7.0,146,1.2,4.3,7,149,0.74,,,x,,,6,-1.00,65.00,66.00,37.00,11.50,-0.66,58,1.60,-1.04,35,-0.85,47,2
באקה אל-גרביה,6000,חיפה,עירייה,,..,15,354,עירון,3,-0.872,65,-1.097,0.223,26.8,-,-,100,100,-,-,13.6,13.2,997,11.3,12.2,12.3,9.9,15.3,20.1,12.6,2.0,4.1,42.2,1.2,600,93,507,19.3,49,-,3.7,..,..,5,80,20,0,0, 	235 ,71,164,70,117,45,3,186,68,118,57,82,46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,"5,580","2,810","2,364",406,"14,558","4,344","8,016","2,198",..,..,..,..,..,..,..,..,..,..,..,..,..,15,8,8,3,5,257,137,120,53,67,"7,368","3,827","3,541","1,611","1,930",29,28,30,30,29,48.7,41.2,-,-,..,-,-,-,-,..,..,..,-,-,-,-,..,..,..,..,..,..,..,..,..,35.2,31.9,148.0,42.5,35.1,172.0," 	5,883 ",2.7,32.2,9.3,8.7,-,1.9,22.6,-,8.7,-,..,"8,537.0","6,316.0",10.0,36.0,1.4,3.6,..,..,..,,,,,,..,-,-,-,-,-,-,-,-,-,-,-,-,-
