שם  הרשות 1,סמל הרשות 2012,"סך כולל הכנסות של הרשות (אלפי ש""ח) 2012",סך כולל הכנסות של הרשות - אחוז שינוי ראלי 2012 לעומת 2011,"סה""כ הכנסות של הרשות  מהתקציב הרגיל (אלפי ש""ח) 2012","סה""כ הכנסות של הרשות  מהתקציב הרגיל - אחוז שינוי ראלי 2012 לעומת 2011","הכנסות של הרשות מחינוך (אלפי ש""ח) 2012",הכנסות של הרשות מחינוך - אחוז שינוי ראלי 2012 לעומת 2011,"הכנסות של הרשות מרווחה (אלפי ש""ח) 2012",הכנסות של הרשות מרווחה - אחוז שינוי ראלי 2012 לעומת 2011,"הכנסות של הרשות ממפעל המים (אלפי ש""ח) 2012",הכנסות של הרשות ממפעל המים - אחוז שינוי ראלי 2012 לעומת 2011,"הכנסות עצמיות של הרשות (אלפי ש""ח) 2012","סה""כ הכנסות עצמיות של הרשות - אחוז שינוי ראלי 2012 לעומת 2011","הכנסות של הרשות מארנונה (גבייה) (אלפי ש""ח) 2012",הכנסות של הרשות מארנונה (גבייה) - אחוז שינוי ראלי 2012 לעומת 2011,"הכנסות של הרשות מארנונה למגורים (גבייה) (אלפי ש""ח) 2012",הכנסות של הרשות מארנונה למגורים (גבייה) - אחוז שינוי ראלי 2012 לעומת 2011,הכנסות של הרשות מארנונה למגורים  -יחס גבייה ב-% לכלל החיובים 2012,"הכנסות של הרשות מארנונה לא למגורים (גבייה) (אלפי ש""ח) 2012","הכנסות עצמיות של הרשות מחינוך (אלפי ש""ח) 2012",הכנסות עצמיות של הרשות מחינוך - אחוז שינוי ראלי 2012 לעומת 2011,"הכנסות עצמיות של הרשות מרווחה (אלפי ש""ח) 2012",הכנסות עצמיות של הרשות מרווחה - אחוז שינוי ראלי 2012 לעומת 2011,"הכנסות של הרשות ממשרד החינוך (אלפי ש""ח) 2012","הכנסות של הרשות ממשרד הרווחה (אלפי ש""ח) 2012","סה""כ השתתפות הממשלה בהכנסות  של הרשות (אלפי ש""ח) 2012","סה""כ השתתפות הממשלה בהכנסות של הרשות - אחוז שינוי ראלי 2012 לעומת 2011 ","מענק כללי לאיזון (אלפי ש""ח) 2012",מענק כללי לאיזון - אחוז שינוי ראלי 2012 לעומת 2011 ,מענק מיועד 2012 (אלפי ₪),מענק מיוחד 2012 (אלפי ₪),"העברות והכנסות חד-פעמיות לכיסוי גירעון  מצטבר (אלפי ש""ח) 2012", העברות והכנסות חד-פעמיות לכיסוי גירעון  מצטבר - אחוז שינוי ראלי 2012 לעומת 2011 ,"מלוות לאיזון (אלפי ש""ח) 2012",מלוות לאיזון - אחוז שינוי ראלי 2012 לעומת 2011,"סה""כ הכנסות של הרשות מתקציב בלתי רגיל (אלפי ש""ח) 2012","סה""כ הכנסות של הרשות מתקציב בלתי רגיל - אחוז שינוי ראלי 2012 לעומת 2011"," הכנסות של הרשות מתקציב בלתי רגיל - השתתפות בעלים (אלפי ש""ח) 2012", הכנסות של הרשות מתקציב בלתי רגיל - השתתפות בעלים - אחוז שינוי ראלי 2012 לעומת 2011 ," הכנסות של הרשות  מתקציב בלתי רגיל - השתתפות משרדי ממשלה (אלפי ש""ח) 2012",הכנסות של הרשות מתקציב בלתי רגיל - השתתפות משרדי הממשלה - אחוז שינוי ראלי 2012 לעומת 2011," הכנסות של הרשות מתקציב בלתי רגיל - מלוות (אלפי ש""ח) 2012",הכנסות של הרשות מתקציב בלתי רגיל - מלוות (אחוז שינוי ראלי 2012 לעומת 2011),"סך כולל הוצאות של הרשות (אלפי ש""ח) 2012",סך כולל הוצאות של הרשות - אחוז שינוי ראלי 2012 לעומת 2011,"סה""כ הוצאות של הרשות בתקציב רגיל (אלפי ש""ח) 2012","סה""כ הוצאות של הרשות בתקציב רגיל - אחוז שינוי ראלי 2012 לעומת 2011","הוצאות של הרשות לחינוך (אלפי ש""ח) 2012",הוצאות של הרשות לחינוך - אחוז שינוי ראלי 2012 לעומת 2011 ,"הוצאות של הרשות לרווחה (אלפי ש""ח) 2012",הוצאות של הרשות לרווחה - אחוז שינוי ראלי 2012 לעומת 2011 ,"הוצאות של הרשות לרכישת מים (אלפי ש""ח) 2012",הוצאות של הרשות לרכישת מים - אחוז שינוי ראלי 2012 לעומת 2011 ,"סה""כ הוצאות של הרשות לעלות עבודה (אלפי ש""ח) 2012","סה""כ הוצאות של הרשות לעלות עבודה - אחוז שינוי ראלי 2012 לעומת 2011 "," הוצאות של הרשות לעלות עבודה לחינוך (אלפי ש""ח) 2012",הוצאות של הרשות לעלות עבודה לחינוך - אחוז שינוי ראלי 2012 לעומת 2011 ," הוצאות של הרשות לעלות עבודה לרווחה (אלפי ש""ח) 2012",הוצאות של הרשות לעלות עבודה לרווחה - אחוז שינוי ראלי 2012 לעומת 2011 ,"הוצאות של הרשות לפעולות (אלפי ש""ח) 2012",הוצאות של הרשות לפעולות - אחוז שינוי ראלי 2012 לעומת 2011 ,"הוצאות של הרשות לפירעון מלוות (אלפי ש""ח) 2012",הוצאות של הרשות לפירעון מלוות - אחוז שינוי ראלי 2012 לעומת 2011 ,"הוצאות מימון של הרשות (אלפי ש""ח) 2012",הוצאות מימון של הרשות - אחוז שינוי ראלי 2012 לעומת 2011 ,"העברות והוצאות חד-פעמיות (כולל כיסוי גירעון מצטבר) של הרשות (אלפי ש""ח) 2012",העברות והוצאות חד-פעמיות (כולל כיסוי גירעון מצטבר) של הרשות - אחוז שינוי ראלי 2012 לעומת 2011 ,"הוצאות כלליות, השתתפויות והעברות (אלפי ש""ח) 2012","הוצאות כלליות, השתתפויות והעברות - אחוז שינוי ראלי 2012 לעומת 2011","סה""כ הוצאות של הרשות בתקציב בלתי רגיל (אלפי ש""ח) 2012","סה""כ הוצאות של הרשות בתקציב בלתי רגיל - אחוז שינוי ראלי 2012 לעומת 2011 ","הוצאות של הרשות בתקציב בלתי רגיל לעבודות פיתוח (אלפי ש""ח) 2012",הוצאות של הרשות בתקציב בלתי רגיל לעבודות פיתוח - אחוז שינוי ראלי 2012 לעומת 2011 ," הוצאות של הרשות בתקציב בלתי רגיל להעברת מלוות (אלפי ש""ח) 2012", הוצאות של הרשות בתקציב בלתי רגיל להעברת מלוות - אחוז שינוי ראלי 2012 לעומת 2011 ," הוצאות של הרשות בתקציב בלתי רגיל - אחר (אלפי ש""ח) 2012",הוצאות של הרשות בתקציב בלתי רגיל - אחר - אחוז שינוי ראלי 2012 לעומת 2011 ,"עודף / גירעון בתקציב הרגיל - תקציבי (אלפי ש""ח) 2012","עודף / גירעון בתקציב הרגיל - שנתי (אלפי ש""ח) 2012","גירעון מצטבר בסוף שנה (אלפי ש""ח) 2012","חיוב ארנונה סך הכל (שטח באלפי מ""ר) 2011","חיוב ארנונה למגורים (שטח באלפי מ""ר) 2011","חיוב ארנונה לעסקים (שטח באלפי מ""ר) 2011","חיוב ארנונה לתעשייה ולמלאכה (שטח באלפי מ""ר) 2011","חיוב ארנונה לבנקים (שטח באלפי מ""ר) 2011","חיוב ארנונה לבתי מלון (שטח באלפי מ""ר) 2011","חיוב ארנונה למוסדות ולמבנים (שטח באלפי מ""ר) 2011","חיוב ארנונה לחניונים (שטח באלפי מ""ר) 2011","חיוב ארנונה לקרקע תפוסה (שטח באלפי מ""ר) 2011","חיוב ארנונה לקרקע חקלאית (שטח באלפי מ""ר) 2011","חיוב ארנונה ליתר סוגי נכס (שטח באלפי מ""ר) 2011","חיוב ארנונה סך הכל (באלפי ש""ח) 2011","חיוב ארנונה למגורים (באלפי ש""ח) 2011","חיוב ארנונה לעסקים (באלפי ש""ח) 2011","חיוב ארנונה לתעשייה ולמלאכה (באלפי ש""ח) 2011","חיוב ארנונה לבנקים (באלפי ש""ח) 2011","חיוב ארנונה לבתי מלון (באלפי ש""ח) 2011","חיוב ארנונה למוסדות ולמבנים (באלפי ש""ח) 2011","חיוב ארנונה לחניונים (באלפי ש""ח) 2011","חיוב ארנונה לקרקע תפוסה (באלפי ש""ח) 2011","חיוב ארנונה לקרקע חקלאית (באלפי ש""ח) 2011","חיוב ארנונה ליתר סוגי נכס (באלפי ש""ח) 2011","חיוב ארנונה סך הכל (שטח באלפי מ""ר) 2012","חיוב ארנונה למגורים (שטח באלפי מ""ר) 2012","חיוב ארנונה לעסקים (שטח באלפי מ""ר) 2012","חיוב ארנונה לתעשייה ולמלאכה (שטח באלפי מ""ר) 2012","חיוב ארנונה לבנקים (שטח באלפי מ""ר) 2012","חיוב ארנונה לבתי מלון (שטח באלפי מ""ר) 2012","חיוב ארנונה למוסדות ולמבנים (שטח באלפי מ""ר) 2012","חיוב ארנונה לחניונים (שטח באלפי מ""ר) 2012","חיוב ארנונה לקרקע תפוסה (שטח באלפי מ""ר) 2012","חיוב ארנונה לקרקע חקלאית (שטח באלפי מ""ר) 2012","חיוב ארנונה ליתר סוגי נכס (שטח באלפי מ""ר) 2012","חיוב ארנונה סך הכל (באלפי ש""ח) 2012","חיוב ארנונה למגורים (באלפי ש""ח) 2012","חיוב ארנונה לעסקים (באלפי ש""ח) 2012","חיוב ארנונה לתעשייה ולמלאכה (באלפי ש""ח) 2012","חיוב ארנונה לבנקים (באלפי ש""ח) 2012","חיוב ארנונה לבתי מלון (באלפי ש""ח) 2012","חיוב ארנונה למוסדות ולמבנים (באלפי ש""ח) 2012","חיוב ארנונה לחניונים (באלפי ש""ח) 2012","חיוב ארנונה לקרקע תפוסה (באלפי ש""ח) 2012","חיוב ארנונה לקרקע חקלאית (באלפי ש""ח) 2012","חיוב ארנונה ליתר סוגי נכס (באלפי ש""ח) 2012",,
אום אל-פחם,2710,"240,558",2.5,"217,466",7.9,"111,666",18.2,"23,194",12.3,"2,215",-27.9,"57,035",-6.6,"32,083",-8.4,"22,986",-6.6,19," 	9,097 ",16,-58.6,250,-57," 	111,650 "," 	22,943 ","160,431",14.1,"24,510",-4,-,57,-,-,-,-,"23,092",-30,-,-,"7,777",-22,-,-,"247,607",5,"222,468",10.3,"119,393",16.6,"31,851",13.6,-,-,"102,236",15.2,"68,157",16.5,"12,628",22,"49,123",-0.8,"8,681",-7.1,"1,680",5,626,-69.2,"60,122",19.3,"25,139",-26.3,"23,860",-21.6,-,-,"1,279",-65.6,-5002,-5002,"-27,074","2,064.6","1,715.7",45.1,141.5,1.5,-,4.6,16.7,42.2,-,97.4,"68,820","53,034","2,735","8,586",615,-,143,71,626,-,"3,010","2,039.8","1,709.8",46.4,141.3,1.5,-,5.3,13.4,24.4,-,97.7,"70,589","54,492","2,901","8,845",634,-,169,59,373,-,"3,115",,
אופקים,0031,"142,529",-0.2,"126,212",-1.2,"21,806",7.3,"16,921",7.4,"1,188",-40.3,"49,533",-12.2,"28,141",0.6,..,..,..,..,"1,595",-33.3,481,26.9," 	18,319 "," 	16,371 ","76,679",7.5,"32,268",3.7,460,4689,755,-38.6,-,-,"16,317",8.6,-,..,"7,983",-17.1,1971,..,"145,943",-0.9,"127,856",-3.3,"30,935",2,"23,398",6.1,-,-,"43,885",1.5,"11,704",1.2,"5,024",12.6,"34,968",11.1,"7,371",-56,"1,521",5.5,"3,620",57.8,"36,491",-1.3,"18,087",20.3,"15,653",12.2,1971,213.8,463,1.5,"-1,644","-1,644","-19,671","1,582.6",680.1,46.8,125.4,1.9,-,-,-,218.6,440.0,69.9,"35,432","22,753","3,218","6,266","1,315",-,-,-,683,25,"1,172","1,574.7",683.6,53.4,118.4,1.9,-,-,-,207.6,440.0,69.8,"38,837","24,761","4,079","6,554","1,465",-,-,-,717,27,"1,234",,
אור יהודה,2400,"264,600",4.6,"241,936",4.1,"39,535",-1.5,"25,834",11.6,"19,489",-12.1,"172,430",3.5,"105,499",7.7,"38,498",-1.2,92," 	67,001 ","4,899",-25.8,613,2.6," 	33,563 "," 	25,221 ","69,506",5.5,"7,241",-12.6,93,360,-,-,-,-,"22,664",10.8,-,-,"3,767",-55.9,-,-,"264,201",6.5,"241,741",4.1,"63,949",9.3,"35,973",9.8,"21,461",20,"68,870",3.1,"28,152",4.6,"8,613",6.8,"88,318",7,"10,974",-5.3,"1,572",-27.5,"3,634",-20.5,"68,373",5.8,"22,460",42.9,"21,899",48,-,-,561,-38.9,195,195,"-22,474","2,499.7","1,153.0",169.3,168.8,4.0,-,-,51.0,90.0,845.2,18.3,"110,503","47,334","31,285","20,701","4,310",-,-,"2,025","2,506",108,"2,234","2,490.6","1,144.0",175.4,162.4,3.8,-,-,51.8,86.6,845.2,21.3,"115,296","48,893","33,937","20,881","4,213",-,-,"2,121","2,481",112,"2,658",,
אור עקיבא,1020,"136,824",11.9,"119,626",3.2,"23,916",-20.1,"11,488",9.3,"9,988",-4.3,"69,743",14.6,"36,076",14.2,"11,451",9.8,27," 	24,625 ","7,775",87.2,205,-7.5," 	15,627 "," 	11,283 ","49,883",-9.4,"16,712",-3.5,-,170,4121,..,-,-,"17,198",170.2,-,-,"8,156",61.5,"5,155",-,"140,314",5.5,"123,931",-1.4,"32,407",-15.3,"16,577",8.3,"11,638",3.6,"45,185",-10,"18,558",-26,"4,364",4.3,"31,040",-1.6,"5,021",-5.3,587,-20.9,4685,..,"37,413",1.2,"16,384",123.9,"10,110",40.8," 	3,405 ",-,2869,..,"-4,305","-4,305","-32,220",797.7,472.3,84.0,130.6,1.2,-,-,10.3,99.4,-,0.0,"33,665","15,832","5,657","8,634",779,-,-,211,2552,-,-,828.7,486.9,92.5,130.4,1.2,-,-,10.3,107.3,-,0.0,"36,124","16,838","6,547","8,895",803,-,-,218,2823,-,-,,
אילת,2600,"498,274",-1.1,"447,971",5.8,"100,916",11.4,"22,121",9.7,-,..,"316,490",3.6,"240,104",3.1,"61,585",6,55," 	178,519 ","5,380",-13.5,785,-15," 	93,625 "," 	21,703 ","131,481",11.7,-,-,-,8424,-,-,-,-,"50,303",-37.7,535,-79.4,"11,304",-49.6,"10,000",3.6,"523,001",4.3,"455,744",4.4,"133,053",10.5,"35,495",5.5,-,-,"177,455",4.2,"71,787",10.3,"10,025",0.4,"155,384",5.7,"34,808",1.1,"7,056",-4.9,"9,659",8.8,"71,382",4,"67,257",3.9,"51,516",-5,"10,000",96.8,"5,741",5.6,"-7,773","-7,773","-68,021","7,539.3","1,882.7",395.8,208.1,4.2,905.3,-,18.6,"3,752.0",334.2,38.3,"244,458","63,386","53,205","10,713","5,018","74,685",-,224,34977,20,"2,230","7,627.0","1,936.7",401.0,207.5,4.2,905.2,-,18.6,"3,789.9",335.5,28.4,"256,309","67,303","56,765","11,061","5,222","76,972",-,231,36498,21,"2,236",,
אלעד,1309,"140,474",-5.9,"118,577",0.1,"22,402",5.5,"14,889",15.8,132,-44.3,"51,977",-0.6,"28,270",0.5,"20,302",0.6,72," 	7,968 ",662,-12.8,358,-8.3," 	19,218 "," 	14,534 ","66,600",0.6,"28,628",-9.2,-,-,-,-,-,-,"21,897",-28.9,-,-,"18,261",9.5,-,..,"142,216",-4.9,"123,766",0.9,"34,637",2,"19,145",6.1,-,-,"28,958",11.9,"9,350",21.6,"4,513",19.3,"64,840",-4.4,"4,419",-12.2,541,8,1065,68.7,"23,943",5,"18,450",-31.5,"17,261",-34.4,-,-,1189,99.6,"-5,189","-5,189","-10,834",896.9,808.0,41.0,11.4,0.9,-,-,-,9.8,-,25.8,"44,516","31,373","9,302",976,"1,038",-,-,-,283,-,"1,544",897.5,813.9,43.2,0.9,0.9,-,-,-,11.2,-,27.5,"46,053","32,639","10,033",91,"1,092",-,-,-,334,-,"1,864",,
אריאל,3570,"119,308",8.5,"101,024",7.4,"21,329",12.4,"9,627",-0.3,2,96.8,"55,619",10.1,"30,613",11.8,"16,625",6.9,78," 	13,988 ","5,934",-6.2,377,21.6," 	14,851 "," 	9,250 ","45,405",4.3,"15,193",-4.9,7,3791,-,-,-,-,"18,284",15.1,-,-,"6,594",10.2,"4,500",77.1,"120,816",8.8,"100,938",7.6,"27,571",13.5,"13,244",-3.3,-,-,"29,645",0.5,"10,084",4.3,"3,158",6.1,"27,300",-5.1,"2,760",14.7,481,6.8,"10,317",96,"30,435",10.7,"19,878",15.6,"10,454",-28.1,-,-,"9,424",254.6,86,86,"-5,127","1,271.9",566.5,25.8,55.2,0.6,11.9,-,-,541.7,3.2,67.1,"33,485","18,402","2,496","2,650",425,427,-,-,"6,636",1,"2,448","1,331.9",581.2,25.9,84.7,0.6,11.9,-,-,559.9,3.2,64.7,"36,509","19,464","2,556","4,108",438,439,-,-,"7,071",1,"2,432",,
אשדוד,0070,"1,418,338",6.1,"1,205,611",4,"276,793",9.1,"121,570",10,"2,564",-61,"835,749",0.8,"613,632",-0.1,"216,190",-0.1,70," 	397,442 ","34,397",-10.3,"3,446",11.7," 	238,141 "," 	113,431 ","369,862",12,-,-,-,1500,-,-,-,-,"212,727",19.8,1547,67.4,"27,577",17.1,"60,000",..,"1,407,809",3,"1,202,424",4.3,"403,619",7,"172,243",9.8,-,-,"413,137",4.4,"189,181",3.1,"34,976",6.8,"378,856",6.7,"47,881",6.5,"6,554",11.1,"13,267",-57,"342,729",7.1,"205,385",-4.1,"101,016",-3,-,-,"104,369",-5.1,"3,187","3,187","28,224","19,170.0","7,105.0","1,182.0","1,055.0",11.0,8.0,-,305.0,"3,813.0","2,748.0","2,943.0","610,450","255,498","163,804","83,552","11,744",529,-,"4,613","73,020",154,"17,536","19,340.0","7,122.0","1,230.0","1,093.0",12.0,13.0,-,333.0,"3,846.0","2,748.0","2,943.0","650,339","269,239","179,432","89,067","12,453",838,-,"4,895","76,184",160,"18,071",,
אשקלון,7100,"772,587",9.3,"632,752",2.5,"164,327",7.9,"70,499",13.3,"7,745",-22.4,"409,718",-1.7,"281,236",1.4,"93,174",6.1,71," 	188,062 ","18,947",-9.2,"2,861",40.6," 	142,754 "," 	65,639 ","223,034",11.2,-,-,1232,505,-,-,-,-,"139,835",56,-,-,"24,947",8.4,-,-,"771,967",9.6,"632,080",2.9,"205,965",6.4,"99,877",11.4,-,-,"200,780",3.5,"51,295",6.1,"20,074",8,"200,529",5.4,"11,747",-5,"4,406",7,"1,680",-90.9,"212,938",9.2,"139,887",54.3,"99,845",44.1,-,-,"40,042",87.3,672,672,"-10,598","11,826.0","3,665.6",338.4,699.9,7.0,80.4,-,4.8,"2,751.1","4,181.9",96.9,"295,260","115,146","63,625","54,723","8,413","3,893",-,104,43623,371,"5,362","12,045.4","3,806.0",336.1,724.1,7.2,80.7,-,7.6,"2,804.2","4,182.3",97.2,"314,237","123,206","66,206","58,452","8,876","4,031",-,183,46272,382,"6,629",,
באקה אל-גרביה,6000,"128,344",..,"113,720",..,"39,906",..," 	9,162 ",..," 	6,222 ",..,"47,866",..,"25,343",..,"16,426",..,48," 	8,917 ",351,..,37,..," 	39,709 "," 	9,125 ","65,854",..," 	14,638 ",..,-,125,"1,703",..,-,..,"14,624",..,-,..,"10,773",..,-,..,"127,303",..,"112,818",..,"42,301",..,"11,928",..,-,..,"44,598",..,"27,425",..,"3,756",..,"16,850",..,"4,482",..,"1,326",-," 	10,385 ",..," 	35,177 ",..,"14,485",..,"12,786",..,-,..," 	1,699 ",..,902,902," 	-20,013 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,162.8",889.3,77.1,32.1,0.8,-,71.5,-,73.0,19.1,0.0,"38,124","28,920","5,410","2,122",422,-,137,-,"1,113",-,-,,
